Island,Site,Longitude,Latitude
Socorro,Punta Tosca,-111.051689,18.777425
Socorro,Roca O Neal,-111.059783,18.833792
Socorro,Cabo Pearce,-110.907069,18.778181
San Benedicto,El Cañon,-110.806525,19.295025
San Benedicto,Fondeadero,-110.809575,19.296664
San Benedicto,El Boiler,-110.813333,19.3295
San Benedicto,Las Cuevitas,-110.789422,19.323247
Roca Partida,Roca Partida,-112.083167,18.994667
Clarion,Bahía Azufre,-114.728375,18.343933
Clarion,Roca Monumento,-114.757531,18.366711
Socorro,Caleta el Barquito,-110.957017,18.730039
Socorro,Los Morros del Norte,-110.966581,18.875711
Socorro,El Acuario,-111.025561,18.772511
Clarion,Dos hermanos,-114.732736,18.375058
